unNeighborClusters	group	medianAbundance	meanAbundance	minimumAbundance	maximumAbundance	IQRAbundance	sdAbundance	nAbundance
3	Actinobacteria-Collinsella	9.9601593625498e-4	0.0016600265604249668	9.9601593625498e-4	0.00298804780876494	9.9601593625498e-4	0.0011501001378279396	3
3	Actinobacteria-Eggerthella	0.00398406374501992	0.00398406374501992	0.00298804780876494	0.0049800796812749	9.96015936254981e-4	0.001408579245391529	2
3	Actinobacteria-Other	9.9601593625498e-4	0.006425909266161163	9.9601593625498e-4	0.0906374501992032	0.00149402390438247	0.0172147338809355	31
3	Actinobacteria-Unknown	0.00149402390438247	0.0017430278884462151	9.9601593625498e-4	0.00298804780876494	0.0012450199203187249	9.536126571278267e-4	4
3	Bacteroidetes-Alistipes	0.00249003984063745	0.03585657370517928	9.9601593625498e-4	0.13745019920318724	0.0348605577689243	0.06773396592042989	4
3	Bacteroidetes-Bacteroides	0.00398406374501992	0.041903813318155944	9.9601593625498e-4	0.17828685258964144	0.04332669322709163	0.06706724489365153	14
3	Bacteroidetes-Other	9.9601593625498e-4	0.002298498314434569	9.9601593625498e-4	0.0149402390438247	9.9601593625498e-4	0.0038227773151904253	13
3	Bacteroidetes-Parabacteroides	0.00298804780876494	0.003237051792828685	9.9601593625498e-4	0.00597609561752988	0.004233067729083666	0.002619477728761537	4
3	Bacteroidetes-Prevotella 9	9.9601593625498e-4	0.09262948207171315	9.9601593625498e-4	0.27589641434262946	0.13745019920318724	0.15871381902025566	3
3	Firmicutes-Agathobacter	0.00199203187250996	0.00199203187250996	0.00199203187250996	0.00199203187250996	0	NA	1
3	Firmicutes-Blautia	0.02938247011952191	0.09885458167330677	0.01792828685258964	0.3187250996015936	0.07594621513944222	0.14668032637771436	4
3	Firmicutes-Enterococcus	0.05577689243027888	0.14623324882289024	9.9601593625498e-4	0.5109561752988048	0.18177290836653387	0.18949124955040994	11
3	Firmicutes-Erysipelatoclostridium	0.0448207171314741	0.047725763612217795	0.00398406374501992	0.12350597609561752	0.04930278884462151	0.03758908129008707	12
